symbol,contractDescription,exchange,times,sizeDescription,monthsAllowed,ticValue,pointValue,notionalContractSize,minOrderTick,notionalTickSize,validTypes,underlyingSymbol,spanSymbol
COIL,ICE BRENT,IPE,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FUT;FOP,COIL,_NA
GOIL,ICE GAS OIL,IPE,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,100 METRIC TONS,FGHJKMNQUVXZ,,100,100,0.25,25,FUT;FOP,GOIL,_NA
LF,ICE GAS OIL,IPE,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,100 METRIC TONS,FGHJKMNQUVXZ,,100,100,0.25,25,FUT;FOP,LF,_NA
RBOB,ICE RBOB,IPE,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FUT;FOP,RBOB,_NA
HOIL,ICE HEATING OIL,IPE,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FUT;FOP,HOIL,_NA
ON,Natural Gas American Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,NG,ON
LO,Crude Oil WTI American Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,CL,LO
LNE,Natural Gas Eur Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.0001,1,FOP,NG,LNE
OB,Gasoline RBOB,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FOP,RB,OB
OH,Heating Oil Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FOP,HO,OH
OG,Gold,COMEX,8:20a.m. to 1:30p.m. (6:00p.m. - 5:15p.m. (Sunday - Friday) EST),100 Troy ounces,GJMQVZ,0.10 (10 cent) per troy ounce. (10.00 per contract),100,100,0.1,10,FOP,GC,OG
SO,Silver,COMEX,8:25a.m. to 1:25p.m. (6:00p.m. - 5:15p.m. (Sunday - Friday) EST),5000 troy ounces,HKNUZ,0.005 (1 cent) per troy ounce. (25.00 per contract),5000,5000,0.005,25,FOP,SI,SO
HXE,High Grade Copper,COMEX,8:10a.m. to 1:00p.m. (6:00p.m. - 5:15p.m. (Sunday - Friday) EST),25000 lbs,HKNUZ,0.0005 cent per lb. (12.50 per contract),25000,25000,0.0005,12.5,FOP,HG,HXE
HX,High Grade Copper,COMEX,8:10a.m. to 1:00p.m. (6:00p.m. - 5:15p.m. (Sunday - Friday) EST),25000 lbs,HKNUZ,0.0005 cent per lb. (12.50 per contract),25000,25000,0.0005,12.5,FOP,HG,HXE
PO,Platinum,NYMEX,8:20a.m. to 1:05p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,50 troy ounces,FJNV,0.10 (10 cent) per troy ounce. (5.00 per contract),50,50,0.1,5,FOP,PL,PO
PAO,Palladium,NYMEX,8:30a.m. to 1:00p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,100 troy ounces,HMUZ,0.05 (5 cent) per troy ounce. (5 per contract),100,100,0.05,5,FOP,PA,PAO
LCE,Crude Oil WTI Eur Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,CL,LCE
NN,Natural Gas Swap Futures,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),2500,2500,0.001,10,FUT,NN,NN
NP,Natural Gas Swap Futures,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),2500,2500,0.001,10,FUT,NP,NP
iNG,Natural Gas Swap Futures,ICE,9:00a.m. - 2:30p.m. (ICE 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),2500,2500,0.001,10,FUT;FOP,iNG,_NA
G2,Natural Gas 2 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G2,G2
G3,Natural Gas 3 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G3,G3
G4,Natural Gas 1 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G4,G4
G5,Natural Gas 5 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G5,G5
G6,Natural Gas 6 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G6,G6
G7,Natural Gas 12 Month CSO,NYMEX,9:00a.m. - 2:30p.m. (OTC 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FOP,G7,G7
HH,Natural Gas Large Swap,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.001,10,FUT,HH,HH
KD,Natural Gas Eur Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,10000 MMBtu (million British thermal units),FGHJKMNQUVXZ,0.001 per MMBtu (10.00 per contract),10000,10000,0.0001,1,FOP,NG,KD
CSX,WTI Calendar Swap Futures,NYMEX,9:00a.m. - 2:30p.m.,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FUT,CSX,CS
AAO,WTI Calendar Swap Options,NYMEX,9:00a.m. - 2:30p.m.,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,CSX,AO
MPX,Heating Oil Calendar Swap Futures,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FUT,MPX,MP
ATX,Heating Oil Calendar Swap Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FOP,MPX,AT
RLX,Gasoline RBOB  Calendar Swap Futures,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FUT,RLX,RL
RA,Gasoline RBOB  Calendar Swap Options,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,42000 gallons,FGHJKMNQUVXZ,0.0001 (0.01 cent) per gallon (4.20 per contract),42000,42000,0.0001,4.2,FOP,RLX,RA
WA,WTI Calendar Spread 1 Month Option,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,WA,WA
WB,WTI Calendar Spread 1 Month Option,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,WB,WB
WC,WTI Calendar Spread 1 Month Option,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,WC,WC
WM,WTI Calendar Spread 1 Month Option,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,WM,WM
WZ,WTI Calendar Spread 1 Month Option,NYMEX,9:00a.m. - 2:30p.m. (GLOBEX 6:00p.m. - 5:15p.m. Sunday - Friday) EST,1000 U.S. barrels (42000 gallons),FGHJKMNQUVXZ,0.01 (1 cent) per barrel (10.00 per contract),1000,1000,0.01,10,FOP,WZ,WZ
